"","Ann Slope","R-Sqrd","Adj Slope","Price","100 EMA","PortWt"
"AAPL",39.8416,0.5571,22.1956,171.08,164.25,0.02
"AIG",-4.5642,0.0274,-0.1249,60,61.24,0.02
"AMGN",-12.4937,0.1569,-1.96,175.25,175.62,0.02
"AMZN",113.9898,0.8436,96.1672,1186.1,1076.91,0.01
"BSX",-26.5252,0.3433,-9.1066,25.19,27.15,0.01
"CCI",24.7442,0.3412,8.4431,109.82,106.56,0.02
"CTSH",4.3351,0.0435,0.1888,71.39,71.5,0.01
"DIS",29.803,0.5094,15.1824,107.77,104.08,0.02
"EQIX",1.6214,0.0034,0.0055,455.11,455.26,0.01
"EVR",89.6724,0.8347,74.8505,90.6,82,0.02
"EWS",28.593,0.7902,22.5941,25.91,25.35,0.03
"EXC",33.3575,0.5618,18.7396,39.3,39.46,0.02
"EXPD",51.8023,0.7887,40.8565,65.36,60.41,0.02
"GD",-2.808,0.0146,-0.041,203.86,201.64,0.02
"GILD",-31.7682,0.4678,-14.8625,72.48,75.13,0.01
"GLD",-11.2859,0.5074,-5.7264,122.85,121.15,0.02
"GOOGL",54.1045,0.874,47.2866,1055.95,1010.79,0.01
"HQH",-36.3864,0.7247,-26.37,22.53,23.58,0.02
"LEG",5.9604,0.0602,0.3588,47.53,47.51,0.02
"LH",6.7421,0.0846,0.5706,160.85,153.81,0.02
"MA",44.3,0.8119,35.9655,151.77,143.59,0.02
"MDLZ",16.8989,0.4639,7.8388,43.06,42.42,0.02
"MTN",-4.1738,0.0322,-0.1345,214.76,220.58,0.01
"NUE",42.6393,0.574,24.4767,64.34,58.38,0.01
"PANW",18.7276,0.234,4.3817,146.87,142.54,0.01
"PCLN",-19.3329,0.274,-5.2969,1764.09,1807.97,0.01
"PPA",31.681,0.7942,25.1615,54.13,51.5,0.03
"QCOM",158.3894,0.7649,121.1502,64.38,59.79,0.01
"SBUX",28.1087,0.7399,20.7972,57.81,56.82,0.02
"SLB",-10.2076,0.0889,-0.9072,67.46,65.62,0.02
"SP-500",29.4433,0.9664,28.4526,2687.54,2568.4,0.04
"TPYP",-7.9956,0.2308,-1.8452,23.32,23.15,0.02
"VLY",7.7054,0.0664,0.5118,11.34,11.54,0.02
"VNQ",-0.2747,6e-04,-2e-04,82.95,83.74,0.03
"VZ",21.0086,0.1748,3.6715,53.43,49.06,0.02
"WFC",55.7778,0.7402,41.288,61.3,55.99,0.02
"WM",41.4555,0.8257,34.2278,86.29,80.29,0.03
"WTR",54.7009,0.9117,49.8714,39.33,35.83,0.03
"XLB",30.0067,0.8531,25.599,60.64,57.75,0.03
"XLF",47.4491,0.8564,40.6337,28.11,26.39,0.03
"XLI",30.6366,0.7954,24.3673,75.81,71.7,0.03
"XLK",43.9746,0.9043,39.7657,64.29,61.35,0.03
"XLP",9.9258,0.2127,2.111,56.9,55.24,0.04
"XLRE",5.5576,0.1355,0.7531,32.91,32.84,0.03
"XLV",7.2247,0.2466,1.7817,83.19,81.57,0.03
"XLY",36.9089,0.8802,32.4889,99.27,93.42,0.03
"XME",12.6829,0.1252,1.5875,36.4,32.27,0.01
"XOM",22.2256,0.5771,12.8275,84.02,82.03,0.02
"XOP",68.2078,0.7263,49.541,37.62,34.32,0.01
